RPF_TOOL_GROUP,RPF_SUB_TOOL_GROUP,RPF_SUB_SUB_TOOL_GROUP,Assettype,TDA2RASSET_SerialNum,SLB_GEOUNIT,SLB_COUNTRY,SLB_DISTRICT,LOCATION,REPAIR_STATUS
,,,1-32ZAXS-TOOL,1293220,APG,AU,AUJAD,AUJAD-WLES,O
,,,1-32ZAXS-TOOL,BF2840779,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-23KAMP-TOOL,1222632,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-23ZAHC265-TOOL,1180167,APG,AU,AURMA,AURMA-WLES,O
,,,2-23ZA-TOOL,1206558,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-23ZA-TOOL,1245009,APG,AU,AURMA,AURMA-WLES,O
,,,2-23ZA-TOOL,1252893,APG,AU,AUMOO,AUMOO-WLPS,O
,,,2-23ZA-TOOL,1270835,APG,AU,AUMOO,AUMOO-WLPS,O
,,,2-23ZA-TOOL,BF2651644,APG,AU,AUPER,AUPER-WLES,O
,,,2-23ZA-TOOL,BF2711327,APG,AU,AUPER,AUPER-WLES,O
,,,2-23ZA-TOOL,BF2843267,APG,AU,AUPER,AUPER-WLES,O
,,,2-32ZAHC-TOOL,2012817,APG,AU,AUJAD,AUJAD-WLES,R
,,,2-32ZA-TOOL,1175566,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZAXS-TOOL,1044698,APG,PG,PGPOM,PGPOM-WLES,O
,,,2-32ZAXS-TOOL,1068463,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZAXS-TOOL,1137133,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZAXS-TOOL,1293218,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZAXS-TOOL,BF2126616,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZAXS-TOOL,BF2364501,APG,AU,AUPER,AUPER-WLES,O
,,,2-32ZAXS-TOOL,BF2560379,APG,PG,PGPOM,PGPOM-WLES,O
,,,2-32ZAXS-TOOL,BF2610622,APG,AU,AURMA,AURMA-WLES,O
,,,2-32ZT-TOOL,1160128,APG,AU,AUJAD,AUJAD-WLES,O
,,,2-32ZT-TOOL,1187856,APG,AU,AURMA,AURMA-WLES,O
,,,2-32ZT-TOOL,652644,APG,NZ,NZNPL,NZNPL-WLES,O
,,,2-32ZT-TOOL,BF1391103,APG,AU,AUPER,AUPER-WLES,O
,,,2-32ZT-TOOL,BF1618491,APG,AU,AURMA,AURMA-WLES,O
,,,2-32ZT-TOOL,BF1624741,APG,AU,AUPER,AUPER-WLES,O
,,,2-32ZT-TOOL,BF2185101,APG,AU,AUPER,AUPER-WLES,O
,,,5112-NA,1632000026,APG,AU,AUPER,AUPER-SWC,O
,,,5112-NA,JAF161346,APG,AU,AUPER,AUPER-SWC,O
,,,7-32ASXS-TOOL,1175166,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-32ASXS-TOOL,2002904,APG,AU,AUJAD,AUJAD-WLES,R
,,,7-32ASXS-TOOL,BF1965528,APG,AU,AUPER,AUPER-WLES,O
,,,7-32ASXS-TOOL,BF2749149,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39AI-XXS-TOOL,1221431,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39AI-XXS-TOOL,1287698,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39AI-XXS-TOOL,1293182,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39PI-XXS-TOOL,1185598,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39PI-XXS-TOOL,2002929,APG,AU,AUJAD,AUJAD-WLES,R
,,,7-39PI-XXS-TOOL,BF2521472,APG,AU,AURMA,AURMA-WLES,O
,,,7-39PI-XXS-TOOL,BF2708944,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-39PI-XXS-TOOL,BF2711332,APG,AU,AURMA,AURMA-WLES,O
,,,7-39ZALXS-TOOL,1127625,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-42ZVXS-TOOL,BF2164023,APG,AU,AUPER,AUPER-WLES,O
,,,7-46ZVI-XS,7-46ZVI-XS|F723020_1,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F713254,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F714063,APG,PG,PGPOM,PGPOM-WLES,O
,,,7-46ZVI-XS,F715052,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F716024,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F716024A,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F717003,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F717035,APG,NZ,NZNPL,NZNPL-WLES,O
,,,7-46ZVI-XS,F717036,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F717165,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F717169,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F717222,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F718042,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F718093,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F718181,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F718205,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719041,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719043,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719090,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719248,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719280,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F719281,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719282,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F719283,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F720006,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F720033,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F720098,APG,PG,PGPOM,PGPOM-WLES,O
,,,7-46ZVI-XS,F720099,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F720139,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F721140,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F721141,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F721188,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F721218,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F722028,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F722227,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F723020,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F723110,APG,AU,AUJAD,AUJAD-WLES,O
,,,7-46ZVI-XS,F723204,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F723204_1,APG,AU,AURMA,AURMA-WLES,O
,,,7-46ZVI-XS,F723206,APG,AU,AUJAD,AUJAD-WLES,O
